20,08
20,306
20,553
20,611
20,8
20,96
21,158
21,222
21,24
21,345
21,368
21,529
21,828
22,1
22,118
22,44
22,6
23,95
24
24,353
24,421
24,676
26,941
27,647
28,1
28,45
29,433
30,333
30,471
31,529
33,1
34,412
34,526
35,667
35,842
35,96
38
38,5
42,235
42,658
42,85
43,667
45,867
46,6
46,933
49,412
50,73
51,353
53,32
61,722
65,632
65,86
66,054
75,46
76,633
79,7
92,828
110,86
120,1
120,7
121,333
126,294
126,541
130,919
133,103
136,974
138,054
157,588
158,353
160,35
160,552
162,621
163,588
170,176
172,6
173,639
178,933
179,65
188,824
194,529
200,483
211,647
220,289
222,568
236,3
247,35
249,85
280,941
320
331,529
342,053
342,414
343,36
348,6
376,118
380,724
408,448
414,552
423,862
441,26
478,067
482,882
490,278
502,111
520,72
542,658
613,412
1052,933
1240,158
1373,966
1438,517
1464,947
1476,026
1708,733
1733,552
1742,882
1755,176
2011,432
2361,765
2485,69
