3536,65
3145,267
3104,933
2105,933
1513,367
1462,833
1461,4
1447,5
1065,767
986,45
895,15
818,967
811,1
771,8
745,6
732,267
675,233
664,733
657,95
620,233
610,533
579,933
574,3
557,667
551,367
530,65
505,1
502,533
435,4
416,967
377,3
371,2
351,5
347,967
328,467
304,867
292,533
275,133
263,567
253,55
251,267
244,033
236,767
231,133
230,333
217
200,267
188,167
186,633
185,267
178,333
176,067
174,933
173,233
168,4
167,8
161,133
158,567
157,367
149,6
146,45
145,067
144,3
141,65
138,933
136,2
130,3
120,3
118,633
113,267
110,367
109,467
107,067
101,95
88,433
85,5
84,3
82,7
81,7
78,5
73,7
72,267
67,933
65,233
60,833
59
58,3
56,867
54,733
52,3
49,55
47,1
44,3
43,333
39,367
38,833
36,9
35,733
35,433
32,05
28,167
28,067
26,4
26,1
26
25,3
23,933
23,9
23,7
21,133
20,167
